type,age_firstborn,days_milking,lact_count,insemination,age,imported,yield
1,22,123,1,2,26,0,35.9
1,22,123,1,1,26,0,29.3
1,23,74,1,0,26,0,32.7
1,23,64,1,0,25,0,28.1
1,24,52,1,0,25,0,37.1
1,23,78,1,0,25,0,18.2
1,23,56,1,0,25,0,31.3
1,23,76,1,0,25,0,31.7
1,23,67,1,0,25,0,27.4
1,23,71,1,0,25,0,31
1,23,70,1,0,25,0,25.9
1,23,69,1,0,25,0,29.1
1,24,29,1,0,25,0,30.1
